,Interval,Subject Type,Frame Index,Timestamp(x),Orbital,Nose,Ears,Whiskers,Cheek,Total Grimace Score,AU Scored,Confidence(Orbital),Confidence(Nose),Confidence(Ears),Confidence(Whiskers),Confidence(Cheek),Face Model,MGS Model
56,Clip 2: 030.csv,c57bl/6,13440,56.025999999999996,-1,0,2,0,,,3,0.0,0.9601159691810608,0.9363975524902344,0.9999997615814208,,general/fau/generalv5,c57bl6-pain-mgs-20220901
57,Clip 2: 030.csv,c57bl/6,13680,57.027,1,-1,2,-1,,,2,0.9815577864646912,0.0,0.9999998807907104,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
58,Clip 2: 030.csv,c57bl/6,13920,58.028,0,0,2,0,,2.0,4,0.9992238283157348,0.9984233379364014,0.9999927282333374,0.9542589783668518,,general/fau/generalv5,c57bl6-pain-mgs-20220901
59,Clip 2: 030.csv,c57bl/6,14160,59.028999999999996,1,-1,2,0,,,3,0.5314905047416687,0.0,0.9994934797286988,0.9999982118606568,,general/fau/generalv5,c57bl6-pain-mgs-20220901
60,Clip 3: 060.csv,c57bl/6,14400,60.0,0,2,0,-1,,,3,0.9999927282333374,0.999964714050293,0.9998362064361572,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
61,Clip 3: 060.csv,c57bl/6,14640,61.001,-1,-1,2,1,,,2,0.0,0.0,0.9937614798545836,0.999968409538269,,general/fau/generalv5,c57bl6-pain-mgs-20220901
62,Clip 3: 060.csv,c57bl/6,14880,62.002,1,-1,1,0,,,3,0.5692732334136963,0.0,0.9494099020957948,0.7107620239257812,,general/fau/generalv5,c57bl6-pain-mgs-20220901
63,Clip 3: 060.csv,c57bl/6,15120,63.003,2,-1,1,-1,,,2,0.962605118751526,0.0,0.9691921472549438,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
64,Clip 3: 060.csv,c57bl/6,15360,64.004,0,-1,2,-1,,,2,1.0,0.0,0.9439274668693542,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
65,Clip 3: 060.csv,c57bl/6,15600,65.005,-1,0,1,-1,,,2,0.0,0.9999880790710448,0.9483035802841188,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
66,Clip 3: 060.csv,c57bl/6,15840,66.006,-1,-1,-1,-1,,,0,0.0,0.0,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
67,Clip 3: 060.csv,c57bl/6,16080,67.007,-1,-1,-1,-1,,,0,0.0,0.0,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
68,Clip 3: 060.csv,c57bl/6,16320,68.008,1,2,2,1,,6.0,4,0.9998258948326112,0.9999668598175048,0.9818273186683656,0.9999988079071044,,general/fau/generalv5,c57bl6-pain-mgs-20220901
69,Clip 3: 060.csv,c57bl/6,16560,69.009,-1,-1,1,-1,,,1,0.0,0.0,0.9998716115951538,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
70,Clip 3: 060.csv,c57bl/6,16800,70.01,-1,0,-1,-1,,,1,0.0,0.99662184715271,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
71,Clip 3: 060.csv,c57bl/6,17040,71.011,1,2,-1,-1,,,2,0.9997628331184388,0.9999822378158568,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
72,Clip 3: 060.csv,c57bl/6,17280,72.012,-1,-1,-1,-1,,,0,0.0,0.0,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
73,Clip 3: 060.csv,c57bl/6,17520,73.013,1,-1,1,-1,,,2,0.9987930059432985,0.0,0.9999988079071044,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
74,Clip 3: 060.csv,c57bl/6,17760,74.014,-1,-1,-1,-1,,,0,0.0,0.0,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
75,Clip 3: 060.csv,c57bl/6,18000,75.015,1,-1,1,-1,,,2,0.9756925106048584,0.0,0.9999974966049194,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
76,Clip 3: 060.csv,c57bl/6,18240,76.016,0,0,2,-1,,,3,0.999903917312622,0.999543070793152,0.9999998807907104,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
77,Clip 3: 060.csv,c57bl/6,18480,77.017,1,-1,0,0,,,3,0.9996328353881836,0.0,0.6939202547073364,0.9999991655349731,,general/fau/generalv5,c57bl6-pain-mgs-20220901
78,Clip 3: 060.csv,c57bl/6,18720,78.018,0,2,2,-1,,,3,0.5736089944839478,0.6103898882865906,0.999907612800598,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
79,Clip 3: 060.csv,c57bl/6,18960,79.019,1,0,0,0,,1.0,4,0.9585759043693542,0.9999998807907104,0.904000461101532,0.9999954700469972,,general/fau/generalv5,c57bl6-pain-mgs-20220901
80,Clip 3: 060.csv,c57bl/6,19200,80.02,1,2,1,-1,,,3,0.5824180245399475,0.9999995231628418,0.7924693822860718,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
81,Clip 3: 060.csv,c57bl/6,19440,81.021,1,0,-1,-1,,,2,0.9998706579208374,0.626089870929718,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
82,Clip 3: 060.csv,c57bl/6,19680,82.02199999999999,1,0,0,0,,1.0,4,0.9999608993530272,1.0,0.9829896688461304,0.9985448122024536,,general/fau/generalv5,c57bl6-pain-mgs-20220901
83,Clip 3: 060.csv,c57bl/6,19920,83.023,1,0,0,0,,1.0,4,0.93032968044281,1.0,0.9526629447937012,1.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
84,Clip 3: 060.csv,c57bl/6,20160,84.024,1,0,1,-1,,,3,0.9999996423721312,0.999980926513672,0.9357126951217652,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
85,Clip 3: 060.csv,c57bl/6,20400,85.025,0,0,-1,-1,,,2,0.9997604489326476,1.0,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
86,Clip 3: 060.csv,c57bl/6,20640,86.026,1,0,0,0,,1.0,4,0.992501735687256,1.0,0.5635470151901245,1.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
87,Clip 3: 060.csv,c57bl/6,20880,87.027,0,-1,0,0,,,3,0.996313750743866,0.0,0.9967066645622252,0.9994230270385742,,general/fau/generalv5,c57bl6-pain-mgs-20220901
88,Clip 3: 060.csv,c57bl/6,21120,88.02799999999999,-1,-1,-1,-1,,,0,0.0,0.0,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
89,Clip 3: 060.csv,c57bl/6,21360,89.029,-1,-1,2,-1,,,1,0.0,0.0,0.9903849363327026,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
90,Clip 4: 090.csv,c57bl/6,21600,90.0,2,-1,1,-1,,,2,0.9989757537841796,0.0,0.5903034210205078,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
91,Clip 4: 090.csv,c57bl/6,21840,91.001,-1,0,1,1,,,3,0.0,0.9822561740875244,0.9517478942871094,0.9996412992477416,,general/fau/generalv5,c57bl6-pain-mgs-20220901
92,Clip 4: 090.csv,c57bl/6,22080,92.002,-1,0,1,1,,,3,0.0,1.0,0.9995096921920776,0.9971139430999756,,general/fau/generalv5,c57bl6-pain-mgs-20220901
93,Clip 4: 090.csv,c57bl/6,22320,93.003,0,2,0,-1,,,3,0.9866812229156494,0.999760925769806,0.999975562095642,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
94,Clip 4: 090.csv,c57bl/6,22560,94.004,0,2,1,-1,,,3,0.9999980926513672,0.834953248500824,0.9999449253082277,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
95,Clip 4: 090.csv,c57bl/6,22800,95.005,0,0,0,0,,0.0,4,0.9993613362312316,1.0,0.9507313370704652,0.9999386072158812,,general/fau/generalv5,c57bl6-pain-mgs-20220901
96,Clip 4: 090.csv,c57bl/6,23040,96.006,1,-1,2,-1,,,2,0.7911543250083923,0.0,0.9938169121742249,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
97,Clip 4: 090.csv,c57bl/6,23280,97.007,-1,-1,1,-1,,,1,0.0,0.0,0.6644302010536194,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
98,Clip 4: 090.csv,c57bl/6,23520,98.008,1,-1,-1,-1,,,1,0.999196469783783,0.0,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
99,Clip 4: 090.csv,c57bl/6,23760,99.009,-1,-1,-1,-1,,,0,0.0,0.0,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
100,Clip 4: 090.csv,c57bl/6,24000,100.01,-1,-1,-1,-1,,,0,0.0,0.0,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
101,Clip 4: 090.csv,c57bl/6,24240,101.011,2,2,-1,-1,,,2,0.4957719445228576,0.9301801323890686,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
102,Clip 4: 090.csv,c57bl/6,24480,102.012,1,0,-1,-1,,,2,0.9997435212135316,0.7242391109466553,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
103,Clip 4: 090.csv,c57bl/6,24720,103.013,1,0,1,-1,,,3,0.9996732473373412,0.8535140752792358,0.9992662072181702,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
104,Clip 4: 090.csv,c57bl/6,24960,104.014,0,2,1,0,,3.0,4,0.9985302686691284,0.9827769994735718,0.9999529123306274,0.9999983310699464,,general/fau/generalv5,c57bl6-pain-mgs-20220901
105,Clip 4: 090.csv,c57bl/6,25200,105.015,1,2,2,-1,,,3,0.996980607509613,0.9999940395355223,0.995267927646637,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
106,Clip 4: 090.csv,c57bl/6,25440,106.016,0,0,2,0,,2.0,4,0.9999868869781494,0.9767741560935974,0.6557236909866333,0.9931250810623168,,general/fau/generalv5,c57bl6-pain-mgs-20220901
107,Clip 4: 090.csv,c57bl/6,25680,107.017,-1,2,1,-1,,,2,0.0,0.9999997615814208,0.9997643828392028,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
108,Clip 4: 090.csv,c57bl/6,25920,108.018,1,-1,-1,-1,,,1,0.9841902852058412,0.0,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
109,Clip 4: 090.csv,c57bl/6,26160,109.019,-1,-1,1,-1,,,1,0.0,0.0,0.9996340274810792,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
